artist,artist_genre_scrape,artist_lyric_scape,collaboration,song,song_genre_scrape,song_lyric_scrape,year
Kendrick Lamar,kendrick+lamar,kendricklamar,0,DNA.,dna.,dna.,2017
Zay Hilfigerrr & Zayion McCall,zay+hilfigerrr,zayhilfigerrr,1,Juju On That Beat (TZ Anthem),juju+on+that+beat+(tz+anthem),jujuonthatbeat(tzanthem),2017
Rae Sremmurd,rae+sremmurd,raesremmurd,0,Swang,swang,swang,2017
Drake,drake,drake,0,Passionfruit,passionfruit,passionfruit,2017
Kendrick Lamar Featuring Rihanna,kendrick+lamar,kendricklamar,1,Loyalty.,loyalty.,loyalty.,2017
Kesha,kesha,kesha,0,Praying,praying,praying,2017
Travis Scott,travis+scott,travisscott,0,Goosebumps,goosebumps,goosebumps,2017
Maroon 5 Featuring Future,maroon+5,maroon5,1,Cold,cold,cold,2017
D.R.A.M. Featuring Lil Yachty,d.r.a.m.,d.r.a.m.,1,Broccoli,broccoli,broccoli,2017
Calvin Harris Featuring Frank Ocean & Migos,calvin+harris,calvinharris,1,Slide,slide,slide,2017
Kane Brown Featuring Lauren Alaina,kane+brown,kanebrown,1,What Ifs,what+ifs,whatifs,2017
Katy Perry Featuring Skip Marley,katy+perry,katyperry,1,Chained To The Rhythm,chained+to+the+rhythm,chainedtotherhythm,2017
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",calvin+harris,calvinharris,1,Feels,feels,feels,2017
Jon Bellion,jon+bellion,jonbellion,0,All Time Low,all+time+low,alltimelow,2017
Luke Combs,luke+combs,lukecombs,0,Hurricane,hurricane,hurricane,2017
Sam Smith,sam+smith,samsmith,0,Too Good At Goodbyes,too+good+at+goodbyes,toogoodatgoodbyes,2017
Khalid,khalid,khalid,0,Young Dumb & Broke,young+dumb+&+broke,youngdumb&broke,2017
Playboi Carti,playboi+carti,playboicarti,0,Magnolia,magnolia,magnolia,2017
SZA Featuring Travis Scott,sza,sza,1,Love Galore,love+galore,lovegalore,2017
A Boogie Wit da Hoodie Featuring Kodak Black,a+boogie+wit+da+hoodie,aboogiewitdahoodie,1,Drowning,drowning,drowning,2017
Hailee Steinfeld & Grey Featuring Zedd,hailee+steinfeld,haileesteinfeld,1,Starving,starving,starving,2017
