artist,artist_genre_scrape,artist_lyric_scape,collaboration,song,song_genre_scrape,song_lyric_scrape,year
James Newton Howard Featuring Jennifer Lawrence,james+newton+howard,jamesnewtonhoward,1,The Hanging Tree,the+hanging+tree,thehangingtree,2015
O.T. Genasis,o.t.+genasis,o.t.genasis,0,CoCo,coco,coco,2015
"Jessie J, Ariana Grande & Nicki Minaj","jessie+j,+ariana+grande","jessiej,arianagrande",1,Bang Bang,bang+bang,bangbang,2015
Sam Smith,sam+smith,samsmith,0,Lay Me Down,lay+me+down,laymedown,2015
I LOVE MAKONNEN Featuring Drake,i+love+makonnen,ilovemakonnen,1,Tuesday,tuesday,tuesday,2015
iLoveMemphis,ilovememphis,ilovememphis,0,Hit The Quan,hit+the+quan,hitthequan,2015
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",macklemore,macklemore,1,Downtown,downtown,downtown,2015
Sam Hunt,sam+hunt,samhunt,0,House Party,house+party,houseparty,2015
Chris Brown & Tyga,chris+brown,chrisbrown,1,Ayo,ayo,ayo,2015
Luke Bryan,luke+bryan,lukebryan,0,Kick The Dust Up,kick+the+dust+up,kickthedustup,2015
Big Sean Featuring Drake,big+sean,bigsean,1,Blessings,blessings,blessings,2015
George Ezra,george+ezra,georgeezra,0,Budapest,budapest,budapest,2015
Sia,sia,sia,0,Chandelier,chandelier,chandelier,2015
Kelly Clarkson,kelly+clarkson,kellyclarkson,0,Heartbeat Song,heartbeat+song,heartbeatsong,2015
Ed Sheeran,ed+sheeran,edsheeran,0,Don't,don't,don't,2015
Ella Henderson,ella+henderson,ellahenderson,0,Ghost,ghost,ghost,2015
Alessia Cara,alessia+cara,alessiacara,0,Here,here,here,2015
Mr. Probz,mr.+probz,mr.probz,0,Waves,waves,waves,2015
Nicky Jam & Enrique Iglesias,nicky+jam,nickyjam,1,El Perdon (Forgiveness),el+perdon+(forgiveness),elperdon(forgiveness),2015
Ne-Yo Featuring Juicy J,ne-yo,ne-yo,1,She Knows,she+knows,sheknows,2015
One Direction,one+direction,onedirection,0,Night Changes,night+changes,nightchanges,2015
Drake,drake,drake,0,Back To Back,back+to+back,backtoback,2015
Calvin Harris & Disciples,calvin+harris,calvinharris,1,How Deep Is Your Love,how+deep+is+your+love,howdeepisyourlove,2015
Pharrell Williams,pharrell+williams,pharrellwilliams,0,Happy,happy,happy,2014
Katy Perry Featuring Juicy J,katy+perry,katyperry,1,Dark Horse,dark+horse,darkhorse,2014
John Legend,john+legend,johnlegend,0,All Of Me,all+of+me,allofme,2014
Iggy Azalea Featuring Charli XCX,iggy+azalea,iggyazalea,1,Fancy,fancy,fancy,2014
OneRepublic,onerepublic,onerepublic,0,Counting Stars,counting+stars,countingstars,2014
Jason Derulo Featuring 2 Chainz,jason+derulo,jasonderulo,1,Talk Dirty,talk+dirty,talkdirty,2014
MAGIC!,magic!,magic!,0,Rude,rude,rude,2014
Meghan Trainor,meghan+trainor,meghantrainor,0,All About That Bass,all+about+that+bass,allaboutthatbass,2014
Ariana Grande Featuring Iggy Azalea,ariana+grande,arianagrande,1,Problem,problem,problem,2014
Sam Smith,sam+smith,samsmith,0,Stay With Me,stay+with+me,staywithme,2014
Pitbull Featuring Ke$ha,pitbull,pitbull,1,Timber,timber,timber,2014
Bastille,bastille,bastille,0,Pompeii,pompeii,pompeii,2014
Taylor Swift,taylor+swift,taylorswift,0,Shake It Off,shake+it+off,shakeitoff,2014
Nico & Vinz,nico,nico,1,Am I Wrong,am+i+wrong,amiwrong,2014
DJ Snake & Lil Jon,dj+snake,djsnake,1,Turn Down For What,turn+down+for+what,turndownforwhat,2014
Eminem Featuring Rihanna,eminem,eminem,1,The Monster,the+monster,themonster,2014
A Great Big World & Christina Aguilera,a+great+big+world,agreatbigworld,1,Say Something,say+something,saysomething,2014
Lorde,lorde,lorde,0,Team,team,team,2014
Passenger,passenger,passenger,0,Let Her Go,let+her+go,lethergo,2014
Lorde,lorde,lorde,0,Royals,royals,royals,2014
Idina Menzel,idina+menzel,idinamenzel,0,Let It Go,let+it+go,letitgo,2014
Avicii,avicii,avicii,0,Wake Me Up!,wake+me+up!,wakemeup!,2014
Imagine Dragons,imagine+dragons,imaginedragons,0,Demons,demons,demons,2014
One Direction,one+direction,onedirection,0,Story Of My Life,story+of+my+life,storyofmylife,2014
Sia,sia,sia,0,Chandelier,chandelier,chandelier,2014
Iggy Azalea Featuring Rita Ora,iggy+azalea,iggyazalea,1,Black Widow,black+widow,blackwidow,2014
"Jessie J, Ariana Grande & Nicki Minaj","jessie+j,+ariana+grande","jessiej,arianagrande",1,Bang Bang,bang+bang,bangbang,2014
Disclosure Featuring Sam Smith,disclosure,disclosure,1,Latch,latch,latch,2014
Maroon 5,maroon+5,maroon5,0,Maps,maps,maps,2014
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,chris+brown,chrisbrown,1,Loyal,loyal,loyal,2014
American Authors,american+authors,americanauthors,0,Best Day Of My Life,best+day+of+my+life,bestdayofmylife,2014
Tove Lo,tove+lo,tovelo,0,Habits (Stay High),habits+(stay+high),habits(stayhigh),2014
Calvin Harris,calvin+harris,calvinharris,0,Summer,summer,summer,2014
Charli XCX,charli+xcx,charlixcx,0,Boom Clap,boom+clap,boomclap,2014
Beyonce Featuring Jay Z,beyonce,beyonce,1,Drunk In Love,drunk+in+love,drunkinlove,2014
Nicki Minaj,nicki+minaj,nickiminaj,0,Anaconda,anaconda,anaconda,2014
Ariana Grande Featuring Zedd,ariana+grande,arianagrande,1,Break Free,break+free,breakfree,2014
Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,enrique+iglesias,enriqueiglesias,1,Bailando,bailando,bailando,2014
Ellie Goulding,ellie+goulding,elliegoulding,0,Burn,burn,burn,2014
Jason Derulo Featuring Snoop Dogg,jason+derulo,jasonderulo,1,Wiggle,wiggle,wiggle,2014
Clean Bandit Featuring Jess Glynne,clean+bandit,cleanbandit,1,Rather Be,rather+be,ratherbe,2014
Jeremih Featuring YG,jeremih,jeremih,1,Don't Tell 'Em,don't+tell+'em,don'ttell'em,2014
Kid Ink Featuring Chris Brown,kid+ink,kidink,1,Show Me,show+me,showme,2014
Miley Cyrus,miley+cyrus,mileycyrus,0,Wrecking Ball,wrecking+ball,wreckingball,2014
Justin Timberlake,justin+timberlake,justintimberlake,0,Not A Bad Thing,not+a+bad+thing,notabadthing,2014
Katy Perry,katy+perry,katyperry,0,Roar,roar,roar,2014
Paramore,paramore,paramore,0,Ain't It Fun,ain't+it+fun,ain'titfun,2014
Aloe Blacc,aloe+blacc,aloeblacc,0,The Man,the+man,theman,2014
Florida Georgia Line Featuring Luke Bryan,florida+georgia+line,floridageorgialine,1,This Is How We Roll,this+is+how+we+roll,thisishowweroll,2014
MKTO,mkto,mkto,0,Classic,classic,classic,2014
Coldplay,coldplay,coldplay,0,A Sky Full Of Stars,a+sky+full+of+stars,askyfullofstars,2014
Ed Sheeran,ed+sheeran,edsheeran,0,Don't,don't,don't,2014
Trey Songz,trey+songz,treysongz,0,Na Na,na+na,nana,2014
Bobby Shmurda,bobby+shmurda,bobbyshmurda,0,Hot Boy,hot+boy,hotboy,2014
Drake Featuring Majid Jordan,drake,drake,1,"Hold On, We're Going Home","hold+on,+we're+going+home","holdon,we'regoinghome",2014
Ed Sheeran,ed+sheeran,edsheeran,0,Sing,sing,sing,2014
Imagine Dragons,imagine+dragons,imaginedragons,0,Radioactive,radioactive,radioactive,2014
YG Featuring Jeezy & Rich Homie Quan,yg,yg,1,My Hitta,my+hitta,myhitta,2014
Echosmith,echosmith,echosmith,0,Cool Kids,cool+kids,coolkids,2014
Avicii,avicii,avicii,0,Hey Brother,hey+brother,heybrother,2014
Jason Derulo,jason+derulo,jasonderulo,0,Trumpets,trumpets,trumpets,2014
Maroon 5,maroon+5,maroon5,0,Animals,animals,animals,2014
Jason Aldean,jason+aldean,jasonaldean,0,Burnin' It Down,burnin'+it+down,burnin'itdown,2014
Luke Bryan,luke+bryan,lukebryan,0,Play It Again,play+it+again,playitagain,2014
Tinashe Featuring ScHoolboy Q,tinashe,tinashe,1,2 On,2+on,2on,2014
Florida Georgia Line,florida+georgia+line,floridageorgialine,0,Dirt,dirt,dirt,2014
OneRepublic,onerepublic,onerepublic,0,Love Runs Out,love+runs+out,loverunsout,2014
Brantley Gilbert,brantley+gilbert,brantleygilbert,0,Bottoms Up,bottoms+up,bottomsup,2014
Becky G,becky+g,beckyg,0,Shower,shower,shower,2014
Rixton,rixton,rixton,0,Me And My Broken Heart,me+and+my+broken+heart,meandmybrokenheart,2014
Martin Garrix,martin+garrix,martingarrix,0,Animals,animals,animals,2014
Rich Gang Featuring Young Thug & Rich Homie Quan,rich+gang,richgang,1,Lifestyle,lifestyle,lifestyle,2014
Kenny Chesney,kenny+chesney,kennychesney,0,American Kids,american+kids,americankids,2014
Sara Bareilles,sara+bareilles,sarabareilles,0,Brave,brave,brave,2014
The Neighbourhood,the+neighbourhood,theneighbourhood,0,Sweater Weather,sweater+weather,sweaterweather,2014
Sam Hunt,sam+hunt,samhunt,0,Leave The Night On,leave+the+night+on,leavethenighton,2014
Chris Brown Featuring Usher & Rick Ross,chris+brown,chrisbrown,1,New Flame,new+flame,newflame,2014
Michael Jackson & Justin Timberlake,michael+jackson,michaeljackson,1,Love Never Felt So Good,love+never+felt+so+good,loveneverfeltsogood,2014
Dierks Bentley,dierks+bentley,dierksbentley,0,Drunk On A Plane,drunk+on+a+plane,drunkonaplane,2014
Katy Perry,katy+perry,katyperry,0,Birthday,birthday,birthday,2014
Lady Antebellum,lady+antebellum,ladyantebellum,0,Bartender,bartender,bartender,2014
Naughty Boy Featuring Sam Smith,naughty+boy,naughtyboy,1,La La La,la+la+la,lalala,2014
Robin Thicke Featuring T.I. + Pharrell,robin+thicke,robinthicke,1,Blurred Lines,blurred+lines,blurredlines,2014
Lady Gaga Featuring R. Kelly,lady+gaga,ladygaga,1,Do What U Want,do+what+u+want,dowhatuwant,2014
Shakira Featuring Rihanna,shakira,shakira,1,Can't Remember To Forget You,can't+remember+to+forget+you,can'tremembertoforgetyou,2014
5 Seconds Of Summer,5+seconds+of+summer,5secondsofsummer,0,Amnesia,amnesia,amnesia,2014
T.I. Featuring Iggy Azalea,t.i.,t.i.,1,No Mediocre,no+mediocre,nomediocre,2014
KONGOS,kongos,kongos,0,Come With Me Now,come+with+me+now,comewithmenow,2014
Lil Wayne Featuring Drake,lil+wayne,lilwayne,1,Believe Me,believe+me,believeme,2014
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",mike+will+made-it,mikewillmade-it,1,23,23,23,2014
Jake Owen,jake+owen,jakeowen,0,Beachin',beachin',beachin',2014
Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,macklemore,macklemore,1,White Walls,white+walls,whitewalls,2014
5 Seconds Of Summer,5+seconds+of+summer,5secondsofsummer,0,She Looks So Perfect,she+looks+so+perfect,shelookssoperfect,2014
Zedd Featuring Hayley Williams,zedd,zedd,1,Stay The Night,stay+the+night,staythenight,2014
Beyonce,beyonce,beyonce,0,Partition,partition,partition,2014
ScHoolboy Q Featuring BJ The Chicago Kid,schoolboy+q,schoolboyq,1,Studio,studio,studio,2014
Drake,drake,drake,0,0 To 100 / The Catch Up,0+to+100+/+the+catch+up,0to100/thecatchup,2014
Lee Brice,lee+brice,leebrice,0,I Don't Dance,i+don't+dance,idon'tdance,2014
Miranda Lambert Duet With Carrie Underwood,miranda+lambert+duet+with+carrie+underwood,mirandalambertduetwithcarrieunderwood,0,Somethin' Bad,somethin'+bad,somethin'bad,2014
Miley Cyrus,miley+cyrus,mileycyrus,0,Adore You,adore+you,adoreyou,2014
Macklemore & Ryan Lewis Featuring Wanz,macklemore,macklemore,1,Thrift Shop,thrift+shop,thriftshop,2013
Robin Thicke Featuring T.I. + Pharrell,robin+thicke,robinthicke,1,Blurred Lines,blurred+lines,blurredlines,2013
Imagine Dragons,imagine+dragons,imaginedragons,0,Radioactive,radioactive,radioactive,2013
Baauer,baauer,baauer,0,Harlem Shake,harlem+shake,harlemshake,2013
Macklemore & Ryan Lewis Featuring Ray Dalton,macklemore,macklemore,1,Can't Hold Us,can't+hold+us,can'tholdus,2013
Justin Timberlake,justin+timberlake,justintimberlake,0,Mirrors,mirrors,mirrors,2013
P!nk Featuring Nate Ruess,p!nk,p!nk,1,Just Give Me A Reason,just+give+me+a+reason,justgivemeareason,2013
Bruno Mars,bruno+mars,brunomars,0,When I Was Your Man,when+i+was+your+man,wheniwasyourman,2013
Florida Georgia Line Featuring Nelly,florida+georgia+line,floridageorgialine,1,Cruise,cruise,cruise,2013
Katy Perry,katy+perry,katyperry,0,Roar,roar,roar,2013
Bruno Mars,bruno+mars,brunomars,0,Locked Out Of Heaven,locked+out+of+heaven,lockedoutofheaven,2013
The Lumineers,the+lumineers,thelumineers,0,Ho Hey,ho+hey,hohey,2013
Rihanna Featuring Mikky Ekko,rihanna,rihanna,1,Stay,stay,stay,2013
Daft Punk Featuring Pharrell Williams,daft+punk,daftpunk,1,Get Lucky,get+lucky,getlucky,2013
Lorde,lorde,lorde,0,Royals,royals,royals,2013
Taylor Swift,taylor+swift,taylorswift,0,I Knew You Were Trouble.,i+knew+you+were+trouble.,iknewyouweretrouble.,2013
Miley Cyrus,miley+cyrus,mileycyrus,0,We Can't Stop,we+can't+stop,wecan'tstop,2013
Miley Cyrus,miley+cyrus,mileycyrus,0,Wrecking Ball,wrecking+ball,wreckingball,2013
Avicii,avicii,avicii,0,Wake Me Up!,wake+me+up!,wakemeup!,2013
Justin Timberlake Featuring JAY Z,justin+timberlake,justintimberlake,1,Suit & Tie,suit+&+tie,suit&tie,2013
Anna Kendrick,anna+kendrick,annakendrick,0,Cups (Pitch Perfect's When I'm Gone),cups+(pitch+perfect's+when+i'm+gone),cups(pitchperfect'swheni'mgone),2013
Jay Z Featuring Justin Timberlake,jay+z,jayz,1,Holy Grail,holy+grail,holygrail,2013
will.i.am & Britney Spears,will.i.am,will.i.am,1,Scream & Shout,scream+&+shout,scream&shout,2013
Zedd Featuring Foxes,zedd,zedd,1,Clarity,clarity,clarity,2013
AWOLNATION,awolnation,awolnation,0,Sail,sail,sail,2013
Swedish House Mafia Featuring John Martin,swedish+house+mafia,swedishhousemafia,1,Don't You Worry Child,don't+you+worry+child,don'tyouworrychild,2013
Rihanna,rihanna,rihanna,0,Diamonds,diamonds,diamonds,2013
Icona Pop Featuring Charli XCX,icona+pop,iconapop,1,I Love It,i+love+it,iloveit,2013
Capital Cities,capital+cities,capitalcities,0,Safe And Sound,safe+and+sound,safeandsound,2013
Bruno Mars,bruno+mars,brunomars,0,Treasure,treasure,treasure,2013
Ariana Grande Featuring Mac Miller,ariana+grande,arianagrande,1,The Way,the+way,theway,2013
Drake,drake,drake,0,Started From The Bottom,started+from+the+bottom,startedfromthebottom,2013
Selena Gomez,selena+gomez,selenagomez,0,Come & Get It,come+&+get+it,come&getit,2013
Drake Featuring Majid Jordan,drake,drake,1,"Hold On, We're Going Home","hold+on,+we're+going+home","holdon,we'regoinghome",2013
Maroon 5,maroon+5,maroon5,0,Daylight,daylight,daylight,2013
Pitbull Featuring Christina Aguilera,pitbull,pitbull,1,Feel This Moment,feel+this+moment,feelthismoment,2013
Lady Gaga,lady+gaga,ladygaga,0,Applause,applause,applause,2013
Maroon 5,maroon+5,maroon5,0,One More Night,one+more+night,onemorenight,2013
Lil Wayne Featuring Drake & Future,lil+wayne,lilwayne,1,Love Me,love+me,loveme,2013
Fall Out Boy,fall+out+boy,falloutboy,0,My Songs Know What You Did In The Dark (Light Em Up),my+songs+know+what+you+did+in+the+dark+(light+em+up),mysongsknowwhatyoudidinthedark(lightemup),2013
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",a$ap+rocky,a$aprocky,1,F**kin Problems,f**kin+problems,f**kinproblems,2013
Justin Bieber Featuring Nicki Minaj,justin+bieber,justinbieber,1,Beauty And A Beat,beauty+and+a+beat,beautyandabeat,2013
Macklemore & Ryan Lewis Featuring Mary Lambert,macklemore,macklemore,1,Same Love,same+love,samelove,2013
Calvin Harris Featuring Florence Welch,calvin+harris,calvinharris,1,Sweet Nothing,sweet+nothing,sweetnothing,2013
Lana Del Rey & Cedric Gervais,lana+del+rey,lanadelrey,1,Summertime Sadness,summertime+sadness,summertimesadness,2013
Phillip Phillips,phillip+phillips,phillipphillips,0,Home,home,home,2013
Imagine Dragons,imagine+dragons,imaginedragons,0,It's Time,it's+time,it'stime,2013
J. Cole Featuring Miguel,j.+cole,j.cole,1,Power Trip,power+trip,powertrip,2013
Alicia Keys Featuring Nicki Minaj,alicia+keys,aliciakeys,1,Girl On Fire,girl+on+fire,girlonfire,2013
Demi Lovato,demi+lovato,demilovato,0,Heart Attack,heart+attack,heartattack,2013
Maroon 5,maroon+5,maroon5,0,Love Somebody,love+somebody,lovesomebody,2013
Mumford & Sons,mumford,mumford,1,I Will Wait,i+will+wait,iwillwait,2013
P!nk,p!nk,p!nk,0,Try,try,try,2013
Darius Rucker,darius+rucker,dariusrucker,0,Wagon Wheel,wagon+wheel,wagonwheel,2013
PSY,psy,psy,0,Gangnam Style,gangnam+style,gangnamstyle,2013
Calvin Harris Featuring Ellie Goulding,calvin+harris,calvinharris,1,I Need Your Love,i+need+your+love,ineedyourlove,2013
Ke$ha,ke$ha,ke$ha,0,Die Young,die+young,dieyoung,2013
fun.,fun.,fun.,0,Some Nights,some+nights,somenights,2013
Wale Featuring Tiara Thomas Or Rihanna,wale,wale,1,Bad,bad,bad,2013
Blake Shelton Featuring Pistol Annies & Friends,blake+shelton,blakeshelton,1,Boys 'round Here,boys+'round+here,boys'roundhere,2013
Phillip Phillips,phillip+phillips,phillipphillips,0,"Gone, Gone, Gone","gone,+gone,+gone","gone,gone,gone",2013
Imagine Dragons,imagine+dragons,imaginedragons,0,Demons,demons,demons,2013
OneRepublic,onerepublic,onerepublic,0,Counting Stars,counting+stars,countingstars,2013
Flo Rida,flo+rida,florida,0,I Cry,i+cry,icry,2013
Of Monsters And Men,of+monsters+and+men,ofmonstersandmen,0,Little Talks,little+talks,littletalks,2013
Jason Derulo,jason+derulo,jasonderulo,0,The Other Side,the+other+side,theotherside,2013
Eminem,eminem,eminem,0,Berzerk,berzerk,berzerk,2013
Kelly Clarkson,kelly+clarkson,kellyclarkson,0,Catch My Breath,catch+my+breath,catchmybreath,2013
Luke Bryan,luke+bryan,lukebryan,0,Crash My Party,crash+my+party,crashmyparty,2013
Rihanna,rihanna,rihanna,0,Pour It Up,pour+it+up,pouritup,2013
Taylor Swift,taylor+swift,taylorswift,0,22,22,22,2013
Hunter Hayes,hunter+hayes,hunterhayes,0,I Want Crazy,i+want+crazy,iwantcrazy,2013
Ylvis,ylvis,ylvis,0,The Fox,the+fox,thefox,2013
One Direction,one+direction,onedirection,0,Best Song Ever,best+song+ever,bestsongever,2013
Ed Sheeran,ed+sheeran,edsheeran,0,The A Team,the+a+team,theateam,2013
fun.,fun.,fun.,0,Carry On,carry+on,carryon,2013
Tim McGraw With Taylor Swift,tim+mcgraw+with+taylor+swift,timmcgrawwithtaylorswift,0,Highway Don't Care,highway+don't+care,highwaydon'tcare,2013
Luke Bryan,luke+bryan,lukebryan,0,That's My Kind Of Night,that's+my+kind+of+night,that'smykindofnight,2013
Kendrick Lamar,kendrick+lamar,kendricklamar,0,Swimming Pools (Drank),swimming+pools+(drank),swimmingpools(drank),2013
Blake Shelton,blake+shelton,blakeshelton,0,Sure Be Cool If You Did,sure+be+cool+if+you+did,surebecoolifyoudid,2013
Mariah Carey Featuring Miguel,mariah+carey,mariahcarey,1,#Beautiful,#beautiful,#beautiful,2013
Olly Murs Featuring Flo Rida,olly+murs,ollymurs,1,Troublemaker,troublemaker,troublemaker,2013
Ciara,ciara,ciara,0,Body Party,body+party,bodyparty,2013
Miguel,miguel,miguel,0,Adorn,adorn,adorn,2013
The Script Featuring will.i.am,the+script,thescript,1,Hall Of Fame,hall+of+fame,halloffame,2013
Ne-Yo,ne-yo,ne-yo,0,Let Me Love You (Until You Learn To Love Yourself),let+me+love+you+(until+you+learn+to+love+yourself),letmeloveyou(untilyoulearntoloveyourself),2013
Rocko Featuring Future & Rick Ross,rocko,rocko,1,U.O.E.N.O.,u.o.e.n.o.,u.o.e.n.o.,2013
Emeli Sande,emeli+sande,emelisande,0,Next To Me,next+to+me,nexttome,2013
Miranda Lambert,miranda+lambert,mirandalambert,0,Mama's Broken Heart,mama's+broken+heart,mama'sbrokenheart,2013
Thomas Rhett,thomas+rhett,thomasrhett,0,It Goes Like This,it+goes+like+this,itgoeslikethis,2013
Ace Hood Featuring Future & Rick Ross,ace+hood,acehood,1,Bugatti,bugatti,bugatti,2013
Hunter Hayes,hunter+hayes,hunterhayes,0,Wanted,wanted,wanted,2013
Lady Antebellum,lady+antebellum,ladyantebellum,0,Downtown,downtown,downtown,2013
Florida Georgia Line,florida+georgia+line,floridageorgialine,0,Get Your Shine On,get+your+shine+on,getyourshineon,2013
will.i.am Featuring Justin Bieber,will.i.am,will.i.am,1,#thatPOWER,#thatpower,#thatpower,2013
Sara Bareilles,sara+bareilles,sarabareilles,0,Brave,brave,brave,2013
Passenger,passenger,passenger,0,Let Her Go,let+her+go,lethergo,2013
Randy Houser,randy+houser,randyhouser,0,Runnin' Outta Moonlight,runnin'+outta+moonlight,runnin'outtamoonlight,2013
2 Chainz,2+chainz,2chainz,0,I'm Different,i'm+different,i'mdifferent,2013
Paramore,paramore,paramore,0,Still Into You,still+into+you,stillintoyou,2013
Gotye Featuring Kimbra,gotye,gotye,1,Somebody That I Used To Know,somebody+that+i+used+to+know,somebodythatiusedtoknow,2012
Carly Rae Jepsen,carly+rae+jepsen,carlyraejepsen,0,Call Me Maybe,call+me+maybe,callmemaybe,2012
fun. Featuring Janelle Monae,fun.,fun.,1,We Are Young,we+are+young,weareyoung,2012
Maroon 5 Featuring Wiz Khalifa,maroon+5,maroon5,1,Payphone,payphone,payphone,2012
Ellie Goulding,ellie+goulding,elliegoulding,0,Lights,lights,lights,2012
The Wanted,the+wanted,thewanted,0,Glad You Came,glad+you+came,gladyoucame,2012
Kelly Clarkson,kelly+clarkson,kellyclarkson,0,Stronger (What Doesn't Kill You),stronger+(what+doesn't+kill+you),stronger(whatdoesn'tkillyou),2012
Rihanna Featuring Calvin Harris,rihanna,rihanna,1,We Found Love,we+found+love,wefoundlove,2012
Nicki Minaj,nicki+minaj,nickiminaj,0,Starships,starships,starships,2012
One Direction,one+direction,onedirection,0,What Makes You Beautiful,what+makes+you+beautiful,whatmakesyoubeautiful,2012
Flo Rida Featuring Sia,flo+rida,florida,1,Wild Ones,wild+ones,wildones,2012
Adele,adele,adele,0,Set Fire To The Rain,set+fire+to+the+rain,setfiretotherain,2012
LMFAO,lmfao,lmfao,0,Sexy And I Know It,sexy+and+i+know+it,sexyandiknowit,2012
fun.,fun.,fun.,0,Some Nights,some+nights,somenights,2012
Katy Perry,katy+perry,katyperry,0,Wide Awake,wide+awake,wideawake,2012
Flo Rida,flo+rida,florida,0,Good Feeling,good+feeling,goodfeeling,2012
Flo Rida,flo+rida,florida,0,Whistle,whistle,whistle,2012
Maroon 5,maroon+5,maroon5,0,One More Night,one+more+night,onemorenight,2012
Train,train,train,0,Drive By,drive+by,driveby,2012
Drake Featuring Lil Wayne,drake,drake,1,The Motto,the+motto,themotto,2012
Rihanna,rihanna,rihanna,0,Where Have You Been,where+have+you+been,wherehaveyoubeen,2012
Neon Trees,neon+trees,neontrees,0,Everybody Talks,everybody+talks,everybodytalks,2012
Drake Featuring Rihanna,drake,drake,1,Take Care,take+care,takecare,2012
David Guetta Featuring Sia,david+guetta,davidguetta,1,Titanium,titanium,titanium,2012
Jason Mraz,jason+mraz,jasonmraz,0,I Won't Give Up,i+won't+give+up,iwon'tgiveup,2012
Bruno Mars,bruno+mars,brunomars,0,It Will Rain,it+will+rain,itwillrain,2012
"Kanye West, Big Sean, Pusha T, 2 Chainz","kanye+west,+big+sean,+pusha+t,+2+chainz","kanyewest,bigsean,pushat,2chainz",0,Mercy,mercy,mercy,2012
Justin Bieber,justin+bieber,justinbieber,0,Boyfriend,boyfriend,boyfriend,2012
LMFAO Featuring Lauren Bennett & GoonRock,lmfao,lmfao,1,Party Rock Anthem,party+rock+anthem,partyrockanthem,2012
Alex Clare,alex+clare,alexclare,0,Too Close,too+close,tooclose,2012
Katy Perry,katy+perry,katyperry,0,Part Of Me,part+of+me,partofme,2012
Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,snoop+dogg,snoopdogg,1,"Young, Wild & Free","young,+wild+&+free","young,wild&free",2012
Taylor Swift,taylor+swift,taylorswift,0,We Are Never Ever Getting Back Together,we+are+never+ever+getting+back+together,weareneverevergettingbacktogether,2012
Justin Bieber Featuring Big Sean,justin+bieber,justinbieber,1,As Long As You Love Me,as+long+as+you+love+me,aslongasyouloveme,2012
David Guetta Featuring Nicki Minaj,david+guetta,davidguetta,1,Turn Me On,turn+me+on,turnmeon,2012
Maroon 5 Featuring Christina Aguilera,maroon+5,maroon5,1,Moves Like Jagger,moves+like+jagger,moveslikejagger,2012
P!nk,p!nk,p!nk,0,Blow Me (One Last Kiss),blow+me+(one+last+kiss),blowme(onelastkiss),2012
Owl City & Carly Rae Jepsen,owl+city,owlcity,1,Good Time,good+time,goodtime,2012
Demi Lovato,demi+lovato,demilovato,0,Give Your Heart A Break,give+your+heart+a+break,giveyourheartabreak,2012
Jay Z Kanye West,jay+z+kanye+west,jayzkanyewest,0,Ni**as in Paris,ni**as+in+paris,ni**asinparis,2012
Katy Perry,katy+perry,katyperry,0,The One That Got Away,the+one+that+got+away,theonethatgotaway,2012
Calvin Harris,calvin+harris,calvinharris,0,Feel So Close,feel+so+close,feelsoclose,2012
Adele,adele,adele,0,Someone Like You,someone+like+you,someonelikeyou,2012
Usher,usher,usher,0,Scream,scream,scream,2012
Tyga,tyga,tyga,0,Rack City,rack+city,rackcity,2012
Jessie J,jessie+j,jessiej,0,Domino,domino,domino,2012
PSY,psy,psy,0,Gangnam Style,gangnam+style,gangnamstyle,2012
Pitbull Featuring Chris Brown,pitbull,pitbull,1,International Love,international+love,internationallove,2012
Phillip Phillips,phillip+phillips,phillipphillips,0,Home,home,home,2012
David Guetta Featuring Usher,david+guetta,davidguetta,1,Without You,without+you,withoutyou,2012
Gym Class Heroes Featuring Neon Hitch,gym+class+heroes,gymclassheroes,1,Ass Back Home,ass+back+home,assbackhome,2012
Hunter Hayes,hunter+hayes,hunterhayes,0,Wanted,wanted,wanted,2012
Luke Bryan,luke+bryan,lukebryan,0,Drunk On You,drunk+on+you,drunkonyou,2012
2 Chainz Featuring Drake,2+chainz,2chainz,1,No Lie,no+lie,nolie,2012
Cher Lloyd,cher+lloyd,cherlloyd,0,Want U Back,want+u+back,wantuback,2012
Chris Brown,chris+brown,chrisbrown,0,Don't Wake Me Up,don't+wake+me+up,don'twakemeup,2012
Big Sean Featuring Nicki Minaj,big+sean,bigsean,1,Dance (A$$),dance+(a$$),dance(a$$),2012
Eric Church,eric+church,ericchurch,0,Springsteen,springsteen,springsteen,2012
Karmin,karmin,karmin,0,Brokenhearted,brokenhearted,brokenhearted,2012
Gavin DeGraw,gavin+degraw,gavindegraw,0,Not Over You,not+over+you,notoveryou,2012
Gym Class Heroes Featuring Adam Levine,gym+class+heroes,gymclassheroes,1,Stereo Hearts,stereo+hearts,stereohearts,2012
Pitbull,pitbull,pitbull,0,Back In Time,back+in+time,backintime,2012
J. Cole,j.+cole,j.cole,0,Work Out,work+out,workout,2012
Adele,adele,adele,0,Rumour Has It,rumour+has+it,rumourhasit,2012
