artist,artist_genre_scrape,artist_lyric_scape,collaboration,song,song_genre_scrape,song_lyric_scrape,year
Imagine Dragons,imagine+dragons,imaginedragons,0,Natural,natural,natural,2018
Jason Aldean,jason+aldean,jasonaldean,0,You Make It Easy,you+make+it+easy,youmakeiteasy,2018
Ed Sheeran,ed+sheeran,edsheeran,0,Shape Of You,shape+of+you,shapeofyou,2018
Gucci Mane Featuring Migos,gucci+mane,guccimane,1,I Get The Bag,i+get+the+bag,igetthebag,2018
"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",dj+khaled,djkhaled,1,No Brainer,no+brainer,nobrainer,2018
A$AP Ferg Featuring Nicki Minaj,a$ap+ferg,a$apferg,1,Plain Jane,plain+jane,plainjane,2018
Miguel Featuring Travis Scott,miguel,miguel,1,Sky Walker,sky+walker,skywalker,2018
Thomas Rhett,thomas+rhett,thomasrhett,0,Marry Me,marry+me,marryme,2018
"Benny Blanco, Halsey & Khalid","benny+blanco,+halsey","bennyblanco,halsey",1,Eastside,eastside,eastside,2018
The Weeknd,the+weeknd,theweeknd,0,Call Out My Name,call+out+my+name,calloutmyname,2018
"Jay Rock, Kendrick Lamar, Future & James Blake","jay+rock,+kendrick+lamar,+future","jayrock,kendricklamar,future",1,King's Dead,king's+dead,king'sdead,2018
Marshmello & Bastille,marshmello,marshmello,1,Happier,happier,happier,2018
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny","casper+magico,+nio+garcia,+darell,+nicky+jam,+ozuna","caspermagico,niogarcia,darell,nickyjam,ozuna",1,Te Bote,te+bote,tebote,2018
Florida Georgia Line,florida+georgia+line,floridageorgialine,0,Simple,simple,simple,2018
N*E*R*D & Rihanna,n*e*r*d,n*e*r*d,1,Lemon,lemon,lemon,2018
Logic Featuring Alessia Cara & Khalid,logic,logic,1,1-800-273-8255,1-800-273-8255,1-800-273-8255,2018
Justin Timberlake Featuring Chris Stapleton,justin+timberlake,justintimberlake,1,Say Something,say+something,saysomething,2018
Drake,drake,drake,0,I'm Upset,i'm+upset,i'mupset,2018
Kenny Chesney,kenny+chesney,kennychesney,0,Get Along,get+along,getalong,2018
XXXTENTACION,xxxtentacion,xxxtentacion,0,Moonlight,moonlight,moonlight,2018
Maroon 5 Featuring SZA,maroon+5,maroon5,1,What Lovers Do,what+lovers+do,whatloversdo,2018
Nicky Jam x J Balvin,nicky+jam+x+j+balvin,nickyjamxjbalvin,0,X,x,x,2018
YoungBoy Never Broke Again,youngboy+never+broke+again,youngboyneverbrokeagain,0,Outside Today,outside+today,outsidetoday,2018
Ella Mai,ella+mai,ellamai,0,Trip,trip,trip,2018
Daddy Yankee,daddy+yankee,daddyyankee,0,Dura,dura,dura,2018
XXXTENTACION,xxxtentacion,xxxtentacion,0,Changes,changes,changes,2018
Brett Young,brett+young,brettyoung,0,Mercy,mercy,mercy,2018
Luke Combs,luke+combs,lukecombs,0,One Number Away,one+number+away,onenumberaway,2018
Rae Sremmurd & Juicy J,rae+sremmurd,raesremmurd,1,Powerglide,powerglide,powerglide,2018
Dua Lipa,dua+lipa,dualipa,0,IDGAF,idgaf,idgaf,2018
J Balvin & Willy William Featuring Beyonce,j+balvin,jbalvin,1,Mi Gente,mi+gente,migente,2018
Imagine Dragons,imagine+dragons,imaginedragons,0,Believer,believer,believer,2018
