artist,collaboration,country_tfidf_score,curse_flag,dirtiness_score,genre,hip_hop_tfidf_score,pop_tfidf_score,rock_tfidf_score,song,total_lyrics,unique_words,whiskey_flag,year
Fall Out Boy,0,0.1,0,0,pop,0.08,0.12,0.06,Uma Thurman,333,86,0,2015
Selena Gomez,0,0.26,0,0,pop,0.2,0.34,0.18,The Heart Wants What It Wants,412,121,0,2015
Little Big Town,0,0.24,0,0,country,0.24,0.26,0.16,Girl Crush,201,81,0,2015
Trey Songz,0,0.2,1,1,pop,0.28,0.28,0.16,Slow Motion,204,91,0,2015
One Direction,0,0.08,0,0,pop,0.1,0.14,0.06,Drag Me Down,398,80,0,2015
Nicki Minaj Featuring Drake & Lil Wayne,1,0.42,1,7,hip-hop,0.54,0.38,0.22,Truffle Butter,538,257,0,2015
Ariana Grande,0,0.32,0,0,pop,0.34,0.4,0.28,One Last Time,434,94,0,2015
Nick Jonas,0,0.16,0,0,pop,0.2,0.22,0.12,Chains,384,66,0,2015
Meek Mill Featuring Chris Brown & Nicki Minaj,1,0.3,1,6,hip-hop,0.56,0.4,0.24,All Eyes On You,592,166,0,2015
Rae Sremmurd,0,0.28,1,3,hip-hop,0.38,0.32,0.18,No Type,436,138,0,2015
Vance Joy,0,0.3,0,0,pop,0.24,0.3,0.22,Riptide,377,105,0,2015
Jidenna Featuring Roman GianArthur,1,0.32,1,3,hip-hop,0.38,0.36,0.26,Classic Man,567,157,0,2015
Elle King,0,0.38,0,0,pop,0.28,0.32,0.24,Ex's & Oh's,380,105,0,2015
Meghan Trainor,0,0.38,0,0,pop,0.38,0.42,0.3,Dear Future Husband,402,136,0,2015
Charlie Puth Featuring Meghan Trainor,1,0.22,0,0,pop,0.24,0.26,0.18,Marvin Gaye,382,87,0,2015
Meghan Trainor Featuring John Legend,1,0.28,0,0,pop,0.26,0.36,0.28,Like I'm Gonna Lose You,354,113,0,2015
Tove Lo,0,0.12,0,0,pop,0.1,0.1,0.12,Stay High (Habits Remix),323,43,0,2015
James Newton Howard Featuring Jennifer Lawrence,1,0.02,0,0,pop,0.06,0.04,0.04,The Hanging Tree,289,70,0,2015
"Jessie J, Ariana Grande & Nicki Minaj",1,0.4,0,0,pop,0.44,0.54,0.32,Bang Bang,623,177,0,2015
Sam Smith,0,0.16,0,0,pop,0.18,0.22,0.14,Lay Me Down,251,103,0,2015
I LOVE MAKONNEN Featuring Drake,1,0.3,1,1,hip-hop,0.42,0.34,0.22,Tuesday,356,175,0,2015
iLoveMemphis,0,0.32,0,0,hip-hop,0.44,0.4,0.24,Hit The Quan,471,166,0,2015
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",1,0.36,1,4,hip-hop,0.44,0.34,0.28,Downtown,808,311,0,2015
Sam Hunt,0,0.38,0,0,country,0.32,0.4,0.26,House Party,386,109,0,2015
Chris Brown & Tyga,1,0.36,1,9,hip-hop,0.52,0.4,0.22,Ayo,651,222,0,2015
Luke Bryan,0,0.34,0,0,country,0.28,0.26,0.18,Kick The Dust Up,360,123,0,2015
Big Sean Featuring Drake,1,0.5,1,8,hip-hop,0.68,0.56,0.36,Blessings,860,337,0,2015
George Ezra,0,0.18,0,0,pop,0.18,0.22,0.16,Budapest,308,78,0,2015
Sia,0,0.26,0,0,pop,0.2,0.28,0.2,Chandelier,415,91,0,2015
Kelly Clarkson,0,0.26,0,0,pop,0.18,0.28,0.22,Heartbeat Song,445,105,0,2015
Ed Sheeran,0,0.28,1,2,pop,0.34,0.42,0.3,Don't,616,222,0,2015
Ella Henderson,0,0.24,0,0,pop,0.3,0.36,0.3,Ghost,335,116,0,2015
Alessia Cara,0,0.36,0,0,pop,0.34,0.38,0.24,Here,514,183,0,2015
Mr. Probz,1,0.12,0,0,pop,0.12,0.16,0.08,Waves,142,60,0,2015
Ne-Yo Featuring Juicy J,1,0.34,0,0,pop,0.42,0.38,0.26,She Knows,374,150,0,2015
One Direction,0,0.16,0,0,pop,0.16,0.2,0.16,Night Changes,329,113,0,2015
Drake,0,0.44,1,4,hip-hop,0.64,0.46,0.32,Back To Back (Freestyle),562,222,0,2015
Calvin Harris & Disciples,1,0.08,0,0,pop,0.12,0.12,0.06,How Deep Is Your Love,351,53,0,2015
Pharrell Williams,0,0.3,0,0,pop,0.32,0.36,0.22,Happy,257,99,0,2014
Katy Perry Featuring Juicy J,1,0.4,0,0,pop,0.42,0.42,0.26,Dark Horse,496,177,0,2014
John Legend,0,0.16,0,0,pop,0.22,0.18,0.2,All Of Me,391,110,0,2014
Iggy Azalea Featuring Charli XCX,1,0.4,1,2,pop,0.42,0.4,0.2,Fancy,564,209,0,2014
OneRepublic,0,0.24,0,0,pop,0.3,0.36,0.22,Counting Stars,588,103,0,2014
Jason Derulo Featuring 2 Chainz,1,0.24,1,1,pop,0.3,0.28,0.16,Talk Dirty,380,132,0,2014
MAGIC!,1,0.26,0,0,pop,0.24,0.32,0.18,Rude,409,109,0,2014
Meghan Trainor,0,0.34,1,1,pop,0.38,0.4,0.22,All About That Bass,531,116,0,2014
Ariana Grande Featuring Iggy Azalea,1,0.4,0,0,pop,0.4,0.5,0.32,Problem,573,142,0,2014
Sam Smith,0,0.2,0,0,pop,0.24,0.24,0.16,Stay With Me,205,67,0,2014
Pitbull Featuring Ke$ha,1,0.26,0,0,pop,0.24,0.26,0.18,Timber,514,113,0,2014
Bastille,0,0.14,0,0,pop,0.06,0.14,0.1,Pompeii,320,86,0,2014
Taylor Swift,0,0.3,0,0,pop,0.3,0.4,0.28,Shake It Off,635,113,0,2014
Nico & Vinz,1,0.28,0,0,pop,0.3,0.32,0.26,Am I Wrong,451,101,0,2014
DJ Snake & Lil Jon,1,0.02,0,0,hip-hop,0.0,0.02,0.0,Turn Down For What,127,17,0,2014
Eminem Featuring Rihanna,1,0.26,1,2,hip-hop,0.38,0.34,0.28,The Monster,721,266,0,2014
A Great Big World & Christina Aguilera,1,0.14,0,0,pop,0.16,0.18,0.14,Say Something,162,55,0,2014
Lorde,0,0.14,0,0,pop,0.16,0.2,0.16,Team,341,134,0,2014
Passenger,0,0.18,0,0,pop,0.18,0.22,0.2,Let Her Go,429,84,0,2014
Lorde,0,0.26,0,0,pop,0.26,0.26,0.24,Royals,422,128,0,2014
Idina Menzel,0,0.2,0,0,pop,0.22,0.28,0.2,Let It Go,299,134,0,2014
Avicii,0,0.08,0,0,pop,0.12,0.18,0.12,Wake Me Up,219,90,0,2014
Imagine Dragons,0,0.12,0,0,rock,0.14,0.16,0.16,Demons,338,108,0,2014
One Direction,0,0.22,0,0,pop,0.2,0.3,0.22,Story Of My Life,377,112,0,2014
Sia,0,0.26,0,0,hip-hop,0.2,0.28,0.2,Chandelier,415,91,0,2014
Iggy Azalea Featuring Rita Ora,1,0.38,1,2,hip-hop,0.4,0.4,0.3,Black Widow,597,188,0,2014
"Jessie J, Ariana Grande & Nicki Minaj",1,0.4,0,0,pop,0.44,0.54,0.32,Bang Bang,623,177,0,2014
Disclosure Featuring Sam Smith,1,0.16,0,0,pop,0.16,0.24,0.1,Latch,356,86,0,2014
Maroon 5,0,0.24,0,0,pop,0.22,0.3,0.18,Maps,463,90,0,2014
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,1,0.42,1,7,pop,0.58,0.46,0.22,Loyal,492,205,0,2014
American Authors,0,0.18,0,0,pop,0.1,0.18,0.14,Best Day Of My Life,323,93,0,2014
Tove Lo,0,0.12,0,0,pop,0.1,0.1,0.12,Stay High (Habits Remix),323,43,0,2014
Calvin Harris,0,0.06,0,0,pop,0.04,0.08,0.08,Summer,116,35,0,2014
Charli XCX,0,0.22,0,0,pop,0.24,0.26,0.16,Boom Clap,395,87,0,2014
Nicki Minaj,0,0.4,1,8,hip-hop,0.5,0.4,0.22,Anaconda,656,179,0,2014
Ariana Grande Featuring Zedd,1,0.22,0,0,pop,0.26,0.36,0.2,Break Free,249,93,0,2014
Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,1,0.0,0,0,pop,0.0,0.04,0.02,Bailando,394,104,0,2014
Ellie Goulding,0,0.3,0,0,pop,0.24,0.26,0.24,Burn,515,87,0,2014
Jason Derulo Featuring Snoop Dogg,1,0.34,0,0,pop,0.3,0.44,0.28,Wiggle,448,155,0,2014
Clean Bandit Featuring Jess Glynne,1,0.12,0,0,pop,0.12,0.16,0.08,Rather Be,430,100,0,2014
Jeremih Featuring YG,1,0.36,1,7,hip-hop,0.48,0.42,0.22,Don't Tell Em,783,180,0,2014
Kid Ink Featuring Chris Brown,0,0.44,1,2,hip-hop,0.5,0.44,0.32,Show Me,654,152,0,2014
Miley Cyrus,0,0.18,0,0,pop,0.18,0.22,0.16,Wrecking Ball,346,95,0,2014
Justin Timberlake,0,0.32,1,1,pop,0.42,0.44,0.26,Not A Bad Thing,552,134,0,2014
Katy Perry,0,0.2,0,0,pop,0.14,0.22,0.16,Roar,467,97,0,2014
Paramore,0,0.18,0,0,rock,0.2,0.2,0.28,Ain't It Fun,538,87,0,2014
Aloe Blacc,0,0.12,0,0,pop,0.22,0.24,0.2,The Man,582,118,0,2014
Florida Georgia Line Featuring Luke Bryan,1,0.42,0,0,country,0.3,0.38,0.22,This Is How We Roll,393,149,0,2014
MKTO,0,0.36,0,0,pop,0.32,0.38,0.3,Classic,452,151,0,2014
Coldplay,0,0.1,0,0,pop,0.1,0.14,0.06,A Sky Full Of Stars,174,47,0,2014
Ed Sheeran,0,0.28,1,2,pop,0.34,0.42,0.3,Don't,616,222,0,2014
Trey Songz,0,0.38,1,4,hip-hop,0.46,0.42,0.28,Na Na,739,110,0,2014
Bobby Shmurda,0,0.16,1,7,hip-hop,0.32,0.2,0.14,Hot Nigga,450,208,0,2014
Drake Featuring Majid Jordan,1,0.24,0,0,hip-hop,0.26,0.24,0.14,Hold On We're Going Home,351,61,0,2014
Ed Sheeran,0,0.26,1,1,pop,0.36,0.42,0.26,Sing,605,174,0,2014
Imagine Dragons,0,0.1,0,0,pop,0.06,0.1,0.04,Radioactive,295,68,0,2014
YG Featuring Jeezy & Rich Homie Quan,1,0.32,1,6,hip-hop,0.46,0.36,0.26,My Nigga,763,173,0,2014
Echosmith,0,0.16,0,0,pop,0.2,0.22,0.16,Cool Kids,319,79,0,2014
Avicii,0,0.08,0,0,pop,0.06,0.08,0.14,Hey Brother,213,54,0,2014
Jason Derulo,0,0.16,1,1,pop,0.2,0.16,0.1,Trumpets,353,72,0,2014
Maroon 5,0,0.24,0,0,pop,0.24,0.28,0.2,Animals,506,101,0,2014
Jason Aldean,0,0.34,0,0,country,0.28,0.32,0.16,Burnin' It Down,442,105,1,2014
Luke Bryan,0,0.34,0,0,country,0.26,0.3,0.2,Play It Again,439,141,0,2014
Tinashe Featuring ScHoolboy Q,1,0.36,1,4,hip-hop,0.44,0.38,0.26,2 On,595,167,0,2014
Florida Georgia Line,0,0.16,0,0,country,0.1,0.14,0.06,Dirt,395,103,1,2014
OneRepublic,0,0.28,0,0,pop,0.3,0.34,0.16,Love Runs Out,495,107,0,2014
Brantley Gilbert,0,0.42,0,0,country,0.32,0.36,0.2,Bottoms Up,436,129,0,2014
Becky G,0,0.32,0,0,pop,0.4,0.5,0.3,Shower,479,131,0,2014
Rixton,0,0.2,0,0,pop,0.24,0.36,0.2,Me And My Broken Heart,461,86,0,2014
Martin Garrix,0,0.0,0,0,pop,0.02,0.0,0.0,Animals,11,5,0,2014
Rich Gang Featuring Young Thug & Rich Homie Quan,1,0.4,1,8,hip-hop,0.5,0.48,0.36,Lifestyle,813,279,0,2014
Kenny Chesney,0,0.28,0,0,country,0.14,0.22,0.18,American Kids,360,145,1,2014
Sara Bareilles,0,0.24,0,0,pop,0.26,0.34,0.18,Brave,393,116,0,2014
The Neighbourhood,1,0.26,0,0,pop,0.3,0.32,0.2,Sweater Weather,333,137,0,2014
Sam Hunt,0,0.38,0,0,country,0.32,0.32,0.22,Leave The Night On,482,145,0,2014
Chris Brown Featuring Usher & Rick Ross,1,0.34,1,2,pop,0.46,0.4,0.28,New Flame,499,155,0,2014
Michael Jackson & Justin Timberlake,0,0.22,0,0,pop,0.24,0.26,0.16,Love Never Felt So Good,349,55,0,2014
Dierks Bentley,0,0.3,1,1,country,0.22,0.26,0.2,Drunk On A Plane,427,149,1,2014
Katy Perry,0,0.32,0,0,pop,0.3,0.32,0.18,Birthday,388,97,0,2014
Lady Antebellum,0,0.46,0,0,pop,0.28,0.36,0.3,Bartender,351,142,0,2014
Naughty Boy Featuring Sam Smith,1,0.16,0,0,pop,0.16,0.26,0.2,La La La,600,83,0,2014
Robin Thicke Featuring T.I. + Pharrell,1,0.38,1,2,pop,0.52,0.44,0.26,Blurred Lines,691,197,0,2014
Lady Gaga Featuring R. Kelly,1,0.34,1,2,pop,0.36,0.4,0.22,Do What U Want,565,134,0,2014
Shakira Featuring Rihanna,1,0.18,0,0,pop,0.18,0.26,0.14,Can't Remember To Forget You,372,101,0,2014
5 Seconds Of Summer,0,0.26,0,0,pop,0.26,0.32,0.24,Amnesia,488,159,0,2014
T.I. Featuring Iggy Azalea,1,0.32,1,9,pop,0.6,0.46,0.24,No Mediocre,801,246,0,2014
KONGOS,0,0.12,0,0,rock,0.16,0.28,0.22,Come With Me Now,341,89,0,2014
Lil Wayne Featuring Drake,1,0.32,1,6,hip-hop,0.66,0.4,0.28,Believe Me,803,325,0,2014
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",1,0.3,1,3,hip-hop,0.4,0.32,0.2,23,467,201,0,2014
Jake Owen,0,0.22,0,0,country,0.16,0.2,0.1,Beachin',251,119,0,2014
Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,1,0.32,1,7,hip-hop,0.56,0.32,0.24,White Walls,679,299,0,2014
5 Seconds Of Summer,0,0.22,0,0,pop,0.22,0.3,0.2,She Looks So Perfect,347,107,0,2014
Zedd Featuring Hayley Williams,1,0.16,0,0,pop,0.16,0.2,0.16,Stay The Night,308,73,0,2014
ScHoolboy Q Featuring BJ The Chicago Kid,1,0.32,1,6,hip-hop,0.48,0.42,0.22,Studio,576,154,0,2014
Drake,0,0.42,1,4,hip-hop,0.62,0.46,0.28,0 To 100 / The Catch Up,937,332,0,2014
Lee Brice,0,0.28,0,0,country,0.24,0.3,0.16,I Don't Dance,235,70,0,2014
Miranda Lambert Duet With Carrie Underwood,1,0.2,0,0,country,0.22,0.24,0.14,Somethin' Bad,321,106,0,2014
Miley Cyrus,0,0.2,0,0,pop,0.18,0.26,0.24,Adore You,228,70,0,2014
Macklemore & Ryan Lewis Featuring Wanz,1,0.4,1,7,hip-hop,0.46,0.34,0.28,Thrift Shop,678,272,0,2013
Robin Thicke Featuring T.I. + Pharrell,1,0.38,1,2,pop,0.52,0.44,0.26,Blurred Lines,691,197,0,2013
Imagine Dragons,0,0.1,0,0,pop,0.06,0.1,0.04,Radioactive,295,68,0,2013
Baauer,0,0.0,0,0,hip-hop,0.0,0.02,0.02,Harlem Shake,39,10,0,2013
Macklemore & Ryan Lewis Featuring Ray Dalton,1,0.4,1,1,hip-hop,0.44,0.48,0.24,Can't Hold Us,837,253,0,2013
Justin Timberlake,0,0.3,0,0,pop,0.3,0.36,0.28,Mirrors,715,164,0,2013
P!nk Featuring Nate Ruess,1,0.2,0,0,pop,0.26,0.28,0.2,Just Give Me A Reason,452,126,0,2013
Bruno Mars,0,0.26,0,0,pop,0.26,0.32,0.24,When I Was Your Man,319,127,0,2013
Florida Georgia Line Featuring Nelly,1,0.4,0,0,country,0.3,0.36,0.2,Cruise,422,135,0,2013
Katy Perry,0,0.2,0,0,pop,0.14,0.22,0.16,Roar,467,97,0,2013
Bruno Mars,0,0.24,0,0,pop,0.24,0.3,0.16,Locked Out Of Heaven,326,82,0,2013
The Lumineers,1,0.18,0,0,rock,0.18,0.24,0.26,Ho Hey,236,85,0,2013
Rihanna Featuring Mikky Ekko,1,0.26,0,0,pop,0.24,0.32,0.18,Stay,270,98,0,2013
Daft Punk Featuring Pharrell Williams,1,0.12,0,0,pop,0.12,0.16,0.1,Get Lucky,635,74,0,2013
Lorde,0,0.26,0,0,pop,0.26,0.26,0.24,Royals,422,128,0,2013
Taylor Swift,0,0.26,0,0,pop,0.26,0.32,0.24,I Knew You Were Trouble,601,168,0,2013
Miley Cyrus,0,0.28,0,0,pop,0.18,0.28,0.24,We Can't Stop,572,118,0,2013
Miley Cyrus,0,0.18,0,0,pop,0.18,0.22,0.16,Wrecking Ball,346,95,0,2013
Avicii,0,0.08,0,0,pop,0.12,0.18,0.12,Wake Me Up,219,90,0,2013
Justin Timberlake Featuring JAY Z,1,0.42,1,3,pop,0.52,0.44,0.34,Suit & Tie,735,214,0,2013
Jay Z Featuring Justin Timberlake,1,0.44,1,4,hip-hop,0.58,0.46,0.22,Holy Grail,624,254,0,2013
will.i.am & Britney Spears,1,0.3,1,2,pop,0.24,0.24,0.22,Scream And Shout,598,105,0,2013
Zedd Featuring Foxes,1,0.2,0,0,pop,0.18,0.22,0.16,Clarity,293,102,0,2013
AWOLNATION,0,0.06,0,0,rock,0.06,0.08,0.12,Sail,161,47,0,2013
Swedish House Mafia Featuring John Martin,1,0.1,0,0,pop,0.14,0.16,0.14,Don't You Worry Child,303,93,0,2013
Rihanna,0,0.14,0,0,pop,0.1,0.18,0.08,Diamonds,383,68,1,2013
Icona Pop Featuring Charli XCX,1,0.14,1,2,pop,0.14,0.12,0.1,I Love It,334,65,0,2013
Capital Cities,0,0.08,0,0,pop,0.08,0.1,0.08,Safe And Sound,304,58,0,2013
Bruno Mars,0,0.3,1,1,pop,0.28,0.34,0.2,Treasure,323,79,0,2013
Ariana Grande Featuring Mac Miller,1,0.54,0,0,pop,0.52,0.58,0.38,The Way,786,164,0,2013
Drake,0,0.22,1,4,hip-hop,0.4,0.32,0.2,Started From The Bottom,505,136,0,2013
Selena Gomez,0,0.28,0,0,pop,0.28,0.3,0.2,Come & Get It,399,88,0,2013
Drake Featuring Majid Jordan,1,0.24,0,0,hip-hop,0.26,0.24,0.14,Hold On We're Going Home,351,61,0,2013
Maroon 5,0,0.22,0,0,pop,0.18,0.26,0.18,Daylight,304,96,0,2013
Pitbull Featuring Christina Aguilera,1,0.36,0,0,pop,0.32,0.46,0.32,Feel This Moment,481,162,0,2013
Lady Gaga,0,0.22,0,0,pop,0.24,0.26,0.16,Applause,545,99,0,2013
Maroon 5,0,0.22,0,0,pop,0.26,0.32,0.2,One More Night,495,104,0,2013
Lil Wayne Featuring Drake & Future,1,0.38,1,7,hip-hop,0.6,0.44,0.28,Bitches Love Me (Good Kush & Alcohol),642,174,0,2013
Fall Out Boy,0,0.16,0,0,pop,0.18,0.2,0.22,My Songs Know What You Did In The Dark,433,103,0,2013
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",1,0.4,1,7,hip-hop,0.68,0.5,0.38,Fuckin' Problems,888,241,0,2013
Justin Bieber Featuring Nicki Minaj,1,0.42,0,0,pop,0.4,0.48,0.3,Beauty And A Beat,352,121,0,2013
Macklemore & Ryan Lewis Featuring Mary Lambert,1,0.32,0,0,hip-hop,0.26,0.34,0.26,Same Love,696,275,0,2013
Calvin Harris Featuring Florence Welch,1,0.1,0,0,pop,0.1,0.16,0.12,Sweet Nothing,249,84,0,2013
Lana Del Rey & Cedric Gervais,1,0.28,0,0,pop,0.2,0.22,0.2,Summertime Sadness,327,98,0,2013
Phillip Phillips,0,0.22,0,0,country,0.14,0.16,0.18,Home,191,68,0,2013
Imagine Dragons,0,0.18,0,0,pop,0.18,0.22,0.14,It's Time,353,94,0,2013
J. Cole Featuring Miguel,1,0.24,1,5,hip-hop,0.34,0.26,0.2,Power Trip,725,186,0,2013
Alicia Keys Featuring Nicki Minaj,1,0.26,0,0,pop,0.24,0.26,0.24,Girl On Fire,289,89,0,2013
Demi Lovato,0,0.36,0,0,hip-hop,0.36,0.4,0.2,Heart Attack,375,137,0,2013
Maroon 5,0,0.28,0,0,pop,0.22,0.32,0.18,Love Somebody,355,80,0,2013
Mumford & Sons,1,0.12,0,0,country,0.08,0.2,0.12,I Will Wait,229,83,0,2013
P!nk,1,0.18,0,0,pop,0.16,0.22,0.1,Try,340,83,0,2013
Darius Rucker,0,0.24,0,0,country,0.16,0.24,0.2,Wagon Wheel,382,139,0,2013
PSY,0,0.16,0,0,pop,0.18,0.2,0.12,Gangnam Style,617,167,0,2013
Calvin Harris Featuring Ellie Goulding,1,0.16,0,0,pop,0.2,0.26,0.18,I Need Your Love,336,103,0,2013
Ke$ha,1,0.28,0,0,pop,0.26,0.34,0.24,Die Young,431,105,0,2013
fun.,1,0.2,1,1,pop,0.26,0.28,0.24,Some Nights,517,178,1,2013
Wale Featuring Tiara Thomas Or Rihanna,1,0.42,1,3,hip-hop,0.54,0.46,0.3,Bad,747,236,0,2013
Blake Shelton Featuring Pistol Annies & Friends,1,0.52,1,1,country,0.4,0.44,0.28,Boys 'Round Here,603,161,0,2013
Phillip Phillips,0,0.16,0,0,rock,0.16,0.26,0.26,"Gone, Gone, Gone",455,105,0,2013
Imagine Dragons,0,0.12,0,0,rock,0.14,0.16,0.16,Demons,338,108,0,2013
OneRepublic,0,0.24,0,0,pop,0.3,0.36,0.22,Counting Stars,588,103,0,2013
Flo Rida,0,0.32,0,0,hip-hop,0.34,0.38,0.2,I Cry,581,194,0,2013
Of Monsters And Men,0,0.28,0,0,pop,0.22,0.32,0.26,Little Talks,349,129,0,2013
Jason Derulo,0,0.24,0,0,pop,0.24,0.28,0.22,The Other Side,417,105,0,2013
Eminem,0,0.44,1,3,hip-hop,0.46,0.52,0.32,Berzerk,801,279,0,2013
Kelly Clarkson,0,0.18,0,0,pop,0.2,0.28,0.16,Catch My Breath,424,103,0,2013
Luke Bryan,0,0.38,0,0,country,0.26,0.28,0.16,Crash My Party,324,122,0,2013
Rihanna,0,0.24,0,0,hip-hop,0.24,0.2,0.14,Pour It Up,445,99,0,2013
Taylor Swift,0,0.3,0,0,pop,0.28,0.34,0.22,22,452,105,0,2013
Hunter Hayes,0,0.5,0,0,country,0.44,0.58,0.32,I Want Crazy,486,143,0,2013
Ylvis,0,0.1,0,0,pop,0.08,0.1,0.08,The Fox,376,130,0,2013
One Direction,0,0.22,0,0,pop,0.2,0.28,0.16,Best Song Ever,404,88,0,2013
Ed Sheeran,0,0.22,0,0,pop,0.24,0.28,0.24,The A Team,368,126,0,2013
fun.,1,0.2,0,0,rock,0.16,0.3,0.22,Carry On,389,148,0,2013
Tim McGraw With Taylor Swift,1,0.18,0,0,country,0.18,0.24,0.16,Highway Don't Care,414,100,0,2013
Luke Bryan,0,0.4,0,0,country,0.34,0.38,0.18,That's My Kind Of Night,396,128,0,2013
Kendrick Lamar,0,0.24,1,1,hip-hop,0.22,0.24,0.08,Swimming Pools (Drank),601,175,0,2013
Blake Shelton,0,0.32,0,0,country,0.24,0.3,0.2,Sure Be Cool If You Did,377,111,0,2013
Mariah Carey Featuring Miguel,1,0.36,1,2,pop,0.28,0.3,0.18,#Beautiful,335,93,0,2013
Olly Murs Featuring Flo Rida,1,0.32,0,0,pop,0.34,0.42,0.26,Troublemaker,465,145,0,2013
Ciara,0,0.36,0,0,pop,0.34,0.44,0.28,Body Party,385,99,0,2013
Miguel,0,0.32,0,0,hip-hop,0.3,0.38,0.22,Adorn,266,82,0,2013
The Script Featuring will.i.am,1,0.12,0,0,pop,0.1,0.12,0.14,Hall Of Fame,477,107,0,2013
Ne-Yo,1,0.28,0,0,hip-hop,0.28,0.34,0.22,Let Me Love You (Until You Learn To Love Yourself),448,84,0,2013
Rocko Featuring Future & Rick Ross,1,0.28,1,5,hip-hop,0.32,0.16,0.14,U.O.E.N.O,565,210,0,2013
Miranda Lambert,0,0.32,0,0,country,0.24,0.28,0.22,Mama's Broken Heart,335,150,0,2013
Thomas Rhett,0,0.36,0,0,country,0.22,0.32,0.18,It Goes Like This,308,84,0,2013
Ace Hood Featuring Future & Rick Ross,1,0.2,1,6,hip-hop,0.4,0.22,0.16,Bugatti,677,258,0,2013
Hunter Hayes,0,0.34,0,0,country,0.32,0.36,0.22,Wanted,281,86,0,2013
Lady Antebellum,0,0.3,0,0,country,0.26,0.28,0.18,Downtown,379,129,0,2013
Florida Georgia Line,0,0.24,0,0,country,0.16,0.2,0.16,Get Your Shine On,292,93,0,2013
will.i.am Featuring Justin Bieber,1,0.2,0,0,pop,0.14,0.2,0.12,#thatPower,445,127,0,2013
Sara Bareilles,0,0.24,0,0,pop,0.26,0.34,0.18,Brave,393,116,0,2013
Passenger,0,0.18,0,0,pop,0.18,0.22,0.2,Let Her Go,429,84,0,2013
Randy Houser,0,0.44,0,0,country,0.24,0.34,0.2,Runnin' Outta Moonlight,404,122,0,2013
2 Chainz,0,0.22,1,6,hip-hop,0.36,0.2,0.1,I'm Different,456,156,0,2013
Paramore,0,0.3,0,0,pop,0.28,0.32,0.22,Still Into You,365,102,0,2013
Gotye Featuring Kimbra,1,0.22,0,0,pop,0.26,0.3,0.2,Somebody That I Used To Know,379,118,0,2012
Carly Rae Jepsen,0,0.22,0,0,pop,0.26,0.28,0.16,Call Me Maybe,439,98,0,2012
fun. Featuring Janelle Monae,1,0.2,0,0,rock,0.2,0.24,0.3,We Are Young,358,120,0,2012
Maroon 5 Featuring Wiz Khalifa,0,0.36,1,3,pop,0.48,0.44,0.32,Payphone,703,199,0,2012
Ellie Goulding,0,0.12,0,0,pop,0.14,0.22,0.14,Lights,335,82,0,2012
The Wanted,0,0.14,0,0,pop,0.14,0.18,0.1,Glad You Came,335,67,0,2012
Kelly Clarkson,0,0.2,0,0,pop,0.2,0.24,0.18,What Doesn't Kill You (Stronger),400,96,0,2012
Rihanna Featuring Calvin Harris,1,0.18,0,0,pop,0.12,0.24,0.14,We Found Love,225,62,0,2012
Nicki Minaj,0,0.26,1,2,pop,0.32,0.3,0.26,Starships,395,126,0,2012
One Direction,0,0.3,0,0,pop,0.32,0.36,0.2,What Makes You Beautiful,480,100,0,2012
Flo Rida Featuring Sia,1,0.4,0,0,pop,0.4,0.4,0.24,Wild Ones,552,196,0,2012
Adele,0,0.12,0,0,pop,0.1,0.14,0.14,Set Fire To The Rain,351,117,0,2012
LMFAO,0,0.22,0,0,hip-hop,0.26,0.28,0.18,Sexy And I Know It,356,125,0,2012
fun.,1,0.2,1,1,pop,0.26,0.28,0.24,Some Nights,517,178,1,2012
Katy Perry,0,0.1,0,0,pop,0.1,0.14,0.12,Wide Awake,333,112,0,2012
Flo Rida,0,0.28,0,0,hip-hop,0.24,0.34,0.16,Good Feeling,557,170,0,2012
Flo Rida,0,0.34,0,0,hip-hop,0.34,0.38,0.28,Whistle,520,142,0,2012
Maroon 5,0,0.22,0,0,pop,0.26,0.32,0.2,One More Night,495,104,0,2012
Train,0,0.28,0,0,pop,0.28,0.34,0.22,Drive By,429,128,0,2012
Drake Featuring Lil Wayne,1,0.36,1,7,hip-hop,0.56,0.42,0.28,The Motto,600,234,0,2012
Rihanna,0,0.14,0,0,pop,0.14,0.2,0.12,Where Have You Been,250,42,0,2012
Neon Trees,0,0.16,1,1,rock,0.16,0.2,0.16,Everybody Talks,277,87,0,2012
Drake Featuring Rihanna,1,0.36,0,0,pop,0.34,0.48,0.34,Take Care,541,173,0,2012
David Guetta Featuring Sia,1,0.06,0,0,pop,0.06,0.12,0.06,Titanium,232,72,0,2012
Jason Mraz,0,0.28,0,0,pop,0.26,0.34,0.2,I Won't Give Up,342,125,0,2012
Bruno Mars,0,0.3,0,0,pop,0.3,0.32,0.2,It Will Rain,349,127,0,2012
"Kanye West, Big Sean, Pusha T, 2 Chainz",1,0.4,1,4,hip-hop,0.48,0.44,0.3,Mercy,857,319,0,2012
